# 2 files saved Sat Feb 14 20:56:49 2026
# saving x array='energy', y array='mu'
# UO2CO3_3: UO2CO3_3
# REF_UO2CO3_3: REF_UO2CO3_3
#------------------------------------------
# energy, UO2CO3_3, REF_UO2CO3_3
 17120.1000,  1.47305e-4,  23306.5119
 17124.0940,  1.53033e-4,  23252.3535
 17128.1010,  1.55265e-4,  23292.7218
 17132.0990,  1.24467e-4,  23265.9469
 17136.0970,  1.57044e-4,  23229.0329
 17140.0980,  1.55420e-4,  23191.1316
 17144.1000,  1.57347e-4,  23163.9437
 17145.1040,  1.71319e-4,  23165.6081
 17146.0950,  1.46273e-4,  23157.9484
 17147.1000,  1.53987e-4,  23154.0413
 17148.1040,  1.69707e-4,  23141.5743
 17149.0960,  1.63641e-4,  23127.6606
 17150.1000,  1.69706e-4,  23117.4645
 17151.1050,  1.89050e-4,  23111.4932
 17152.0980,  1.99692e-4,  23099.7107
 17152.4940,  1.93391e-4,  23108.5317
 17152.9040,  1.88713e-4,  23112.0778
 17153.3010,  2.08478e-4,  23101.1641
 17153.6970,  1.90643e-4,  23097.6510
 17154.0950,  1.85336e-4,  23099.4065
 17154.5050,  2.22994e-4,  23088.5663
 17154.9020,  2.43108e-4,  23087.6384
 17155.2980,  2.14472e-4,  23087.3172
 17155.6950,  2.31209e-4,  23089.0301
 17156.1050,  2.52048e-4,  23084.6822
 17156.5030,  2.88197e-4,  23070.7424
 17156.9000,  2.77865e-4,  23062.7357
 17157.2960,  2.83759e-4,  23057.5281
 17157.6930,  3.30872e-4,  23054.1447
 17158.1030,  3.57297e-4,  23043.4213
 17158.5010,  3.72405e-4,  23030.8170
 17158.8980,  4.16356e-4,  23015.9542
 17159.2950,  5.18750e-4,  22990.3831
 17159.7060,  5.78879e-4,  22982.1603
 17160.1020,  5.99490e-4,  22987.6277
 17160.4990,  7.69983e-4,  22988.1805
 17160.8970,  9.63642e-4,  23001.5651
 17161.2940,  0.00113748,  23025.3107
 17161.7050,  0.00135128,  23030.2387
 17162.1010,  0.00168561,  23039.9162
 17162.4990,  0.00204872,  23031.3873
 17162.8960,  0.00245014,  23032.7938
 17163.2940,  0.00286954,  23029.3943
 17163.7040,  0.00342540,  23013.2729
 17164.1010,  0.00386641,  23003.6852
 17164.4980,  0.00435255,  22996.8960
 17164.8960,  0.00482564,  23003.1727
 17165.2940,  0.00527969,  22996.7667
 17165.7040,  0.00597895,  22992.3677
 17166.1010,  0.00640754,  22995.3625
 17166.4990,  0.00687795,  22997.0812
 17166.8960,  0.00764415,  23001.5996
 17167.2940,  0.00868741,  23005.4950
 17167.7050,  0.01010580,  23009.9203
 17168.1020,  0.01186519,  22997.6040
 17168.4990,  0.01423560,  23002.7787
 17168.8970,  0.01718680,  22995.6487
 17169.2950,  0.02068063,  22993.6972
 17169.7060,  0.02480217,  22991.8811
 17170.1030,  0.02958065,  22985.2087
 17170.5000,  0.03468430,  22990.9430
 17170.8990,  0.03999428,  22991.2095
 17171.2960,  0.04507180,  22983.1962
 17171.6930,  0.04954685,  22984.0237
 17172.1040,  0.05367864,  22991.8050
 17172.5030,  0.05651376,  22987.7706
 17172.9000,  0.05822977,  22985.2735
 17173.2970,  0.05861315,  22979.4852
 17173.6950,  0.05726530,  22977.0901
 17174.0940,  0.05486398,  22972.3232
 17174.5050,  0.05172124,  22966.9724
 17174.9020,  0.04844416,  22958.4849
 17175.3000,  0.04462693,  22960.1945
 17175.6980,  0.04145208,  22958.0694
 17176.0960,  0.03865186,  22955.2422
 17176.4930,  0.03585757,  22949.5472
 17176.9050,  0.03388560,  22949.3189
 17177.3030,  0.03199971,  22940.2961
 17177.7010,  0.03030010,  22926.5142
 17178.0990,  0.02946210,  22925.5752
 17178.4970,  0.02862403,  22913.7818
 17178.8950,  0.02790479,  22918.8753
 17179.3060,  0.02753652,  22916.6442
 17179.7040,  0.02717543,  22915.7137
 17180.1020,  0.02691308,  22913.8861
 17180.5000,  0.02723713,  22917.9736
 17180.8990,  0.02758756,  22921.8726
 17181.2960,  0.02775566,  22918.2386
 17181.6950,  0.02800006,  22912.3296
 17182.0930,  0.02820464,  22918.8315
 17183.1010,  0.02871633,  22915.4742
 17184.0980,  0.02864886,  22916.9471
 17185.0930,  0.02839894,  22896.0725
 17186.1020,  0.02830043,  22887.4826
 17187.0980,  0.02739529,  22880.8163
 17188.0950,  0.02683499,  22876.2477
 17189.1040,  0.02634508,  22866.8345
 17190.1000,  0.02570038,  22852.8286
 17191.0970,  0.02522810,  22851.7906
 17192.0940,  0.02480706,  22846.6356
 17193.1030,  0.02420973,  22845.3088
 17194.1000,  0.02377135,  22821.4875
 17195.0970,  0.02372279,  22810.7553
 17196.0940,  0.02323563,  22810.6277
 17197.1040,  0.02297490,  22802.2752
 17198.1020,  0.02290059,  22791.0923
 17199.1000,  0.02286506,  22787.6253
 17200.0970,  0.02302787,  22784.4832
 17201.0950,  0.02307102,  22784.1294
 17202.1050,  0.02353242,  22776.7890
 17203.1030,  0.02384072,  22770.3546
 17204.1010,  0.02442169,  22761.4516
 17205.1000,  0.02475617,  22752.0363
